district,SUII_demo,SUII_bio,YUR_octdec,EPUSI_list
100000,,,0.0,[]
24 Paraganas North,,,,[]
24 Paraganas South,,,,[]
5th cross,,,0.0,[]
?,,,0.0,[]
ANGUL,0.6666666666666666,,0.2727272727272727,[]
ANUGUL,3.368055555555556,0.40609137055837563,0.08275862068965517,[]
Adilabad,2.3877866153890976,1.3064131236022438,0.3330152262491958,[]
Agar Malwa,1.5669433417538794,0.7087159658450136,0.16542729664798078,[]
Agra,2.6373591618897017,0.7654169926643176,0.29837395912187736,[]
Ahilyanagar,,,0.08254620123203285,[]
Ahmadabad,5.882173692229558,1.1540627514078843,0.039552432995055946,[]
Ahmadnagar,8.962130149023762,1.1001517838870318,0.1984946707409558,[]
Ahmed Nagar,33.18867924528302,2.221981200289226,0.06850299401197604,[]
Ahmedabad,1.3186613066073674,0.5692624989307676,0.26744648115504926,[]
Ahmednagar,,,,[]
Aizawl,1.2609080561527761,0.40517076284711134,0.4678785739498765,[]
Ajmer,0.917464424320828,0.8126059500560109,0.3264992311635059,[]
Akhera,,,0.0,[]
Akola,6.06521597921403,0.96441928069768,0.15282364056463457,[]
Alappuzha,5.8264102836502705,0.7151577120902275,0.22691721283884125,[]
Aligarh,1.5638080311920644,0.7696985262982527,0.31277638950612335,[]
Alipurduar,2.2898435953276577,0.7015057573073517,0.24642535102408863,[]
Alirajpur,1.6528799797005835,0.4556556793929334,0.2904694835680751,[]
Allahabad,2.096331233439977,0.6866523467090039,0.2952263017769797,[]
Alluri Sitharama Raju,1.847832585949178,1.038869835048179,0.28145431350661776,[]
Almora,2.831216526396327,1.4408111264465444,0.3947068618000175,[]
Alwar,1.213213013219673,0.7505985609916724,0.35976891210530415,[]
Ambala,1.466861344318715,0.695415393164768,0.25697405286880254,[]
Ambedkar Nagar,2.2346627910226666,0.9504093092483594,0.31129816520500053,[]
Amethi,2.0698946245164733,0.8533276228643101,0.3028985289927874,[]
Amravati,5.514628334830671,0.9483083198242953,0.17906653957424037,[]
Amreli,2.1883307051137644,0.5738274573151262,0.2854653889968505,[]
Amritsar,1.0881802880119693,0.5957532319646326,0.2606863676990083,[]
Amroha,1.954630055398629,0.923314721933062,0.28644304020134503,[]
Anakapalli,2.5797890438924806,1.081824432729773,0.23264936632468317,[]
Anand,2.015487973742243,0.5081900307746611,0.29712317855971515,[]
Anantapur,2.6139132185643814,1.2048295941085803,0.2756034052427787,[]
Ananthapur,2.9239094785175466,0.6368294861548587,0.5099216231093868,[]
Ananthapuramu,1.194153415741243,0.5501291328323135,0.5020310150586862,[]
Anantnag,1.4378232081581364,1.356192895191731,0.46734316802064696,[]
Andamans,7.2592592592592595,1.1264546159813809,0.14079147640791476,[]
Angul,2.012804794987059,0.8129117259552042,0.4144985879949528,[]
Anjaw,1.4389140271493213,1.0415584415584414,0.5146036161335188,[]
Annamayya,0.9841185342915447,1.0416536172878172,0.26057705645720625,[]
Anugal,0.8888888888888888,,0.0,[]
Anugul,5.758139534883721,2.2514285714285713,0.12325686009896536,[]
Anugul  *,,,0.0,[]
Anuppur,0.9817871371656232,0.43146075073693535,0.2739359203232171,[]
Araria,2.1205810174437887,0.64709438460556,0.17024650425255874,[]
Ariyalur,2.090208442809599,0.6648207068535558,0.4678353219666677,[]
Arvalli,2.497777777777778,0.5768880010422547,0.4420003591309032,[]
Arwal,2.0191041319921847,0.7650051780809581,0.19067985387151384,[]
Ashok Nagar,0.6875018656159517,0.35192183028444035,0.2873923603444469,[]
Ashoknagar,,,,[]
Auraiya,1.835258403672442,0.7680613362541074,0.32191975046079685,[]
Auraiya *,,,1.0,[]
Aurangabad,3.5256677641678222,0.9232037446552286,0.1868616747487335,[]
Aurangabad(BH),0.6666666666666666,3.0,0.12,[]
Aurangabad(bh),0.8003384094754653,1.2753623188405796,0.07395993836671803,[]
Ayodhya,2.0207922095012503,1.0579230450972281,0.2204201270151441,[]
Azamgarh,1.9108853943584412,0.9184458339294281,0.2771047096341307,[]
BALANGIR,,,,[]
Badgam,2.1482115351702893,0.8820951798634465,0.21227838551490003,[]
Bagalkot,1.493035287874768,0.7377238282844416,0.3561001524460664,[]
Bagalkot *,5.056047197640118,1.6087866108786608,0.16851168511685116,[]
Bageshwar,1.977037887485649,1.0191726947117072,0.3697196261682243,[]
Baghpat,1.8787793161910145,0.8302687411598303,0.28927760838166855,[]
Baghpat *,2.0,,0.0,[]
Bagpat,1.3333333333333333,1.0,0.21428571428571427,[]
Bahraich,2.941873535407419,0.9518693912150433,0.3488226314353351,[]
Bajali,0.9170370370370371,0.5185185185185186,0.07266982622432859,[]
Baksa,2.6512645249487354,1.292153904187099,0.27622673434856176,[]
Balaghat,0.5747499675282504,0.7943611052939037,0.5405601563226947,[]
Balangir,1.925895202543896,0.7504593399115345,0.39044671412359433,[]
Baleshwar,4.17282089927154,1.0794792312461252,0.19650834704914177,[]
Baleswar,1.6496769562096194,0.9988683407583548,0.5423728813559322,[]
Balianta,,,0.0,[]
Ballari,0.8694578384099729,0.7379992671308172,0.47494703086525797,[]
Ballia,2.2161336975735173,0.8040309064268923,0.3009260251655913,[]
Bally Jagachha,,0.5,0.0,[]
Balod,1.0951862790818176,1.1113877981036298,0.36852391018226777,[]
Baloda Bazar,1.5483870967741935,1.2744425186408739,0.35948102657416886,[]
Balotra,,,0.05108055009823183,[]
